line id verse number,urdu transliteration text,english translation text
,"LA ILAHA ILLALLAH MUHAMMADIN RASOOL ALLAH KI LAAZAWAL DARSGAAH HUSSAIN HAI
Marshia Translations | ISIJ of Toronto",The never declining university of ‘La Ilaha Illallah Muhammadin Rasool Allah’ is Hussain
,"NA JISKI KOI MISAAL HAI NA JISKI KOI NAZEER HAI, WOH BEMISAAL SHEHANSHA HUSSAIN HAI
Marshia Translations | ISIJ of Toronto","The one who doesn’t have anyone like him, that unique Emperor is Hussain"
,"HUSSAIN LA ILAH KI ZINDAGI, HUSSAIN AMBIYA KI BANDAGI
Marshia Translations | ISIJ of Toronto",Hussain is the life of Islam; Hussain is the life of all the Prophets.
,"LA ILAH SE POOCH LO KE SAARI KAAINAAT MEIN SIRF BINA-E-LA ILAH HUSSAIN HAI
Marshia Translations | ISIJ of Toronto","Ask Allah, in the entire universe, the savior of Islam is Hussain."
,"HUSSAIN DEEN KA SHABAB HAI, HUSSAIN DARD KI KITAAB HAI,
Marshia Translations | ISIJ of Toronto","Hussain is the youth of Religion, Hussain is the book of suffering"
,"KAFAN KE BANND KHOL KAR BULAYA JISKO MAAN NE KHUD, WO FATIMA KA LADLA HUSSAIN HAI
Marshia Translations | ISIJ of Toronto","Despite being shrouded, Bibi Fatema, called out to him, that beloved of Fatima is Hussain"
,"Hazrat Ali Akber trembled but Hussain was steadfast
TARAP CHUKI SHABEEH-E-MUSTAFA, MAGAR HUSSAIN HE DATTA HUA,
Marshia Translations | ISIJ of Toronto",
,"PISAR JAWAN KI LAASH PE HAI MUTMAIN KHARA RAHA YE WO KHALIL-E-KARBALA HUSSAIN HAI
Marshia Translations | ISIJ of Toronto","Standing content at the body of his son, that Ibrahim of Karbala is Hussain"
,"APNE KHOON KA GHUSAL MILA, KAFAN HAI JISKA KHAAK-E-KARBALA
Marshia Translations | ISIJ of Toronto","His Ghusl was done in his own blood, His kafan was the sand of Karbala"
,"DAFAN BEHAN NA KAR SAKI HAI DHOOP MEIN PARA RAHA YE WO GHAREEB-E-KARBALA HUSSAIN HAI,
Marshia Translations | ISIJ of Toronto","Bibi Zaynab could not bury him, his body lay under the sun, that lonely man of Karbala is Hussain"
,"HARAM MEIN HASHR KA SAMA HUA, PHUPHI SE JAB SAKINA NE YE KAHA,
Marshia Translations | ISIJ of Toronto",It was like the day of Judgement when Bibi Sakina told her aunt
,"MUJHE NA NEEND AATI HAI MAIN SOUN KISKE SEENE PAR KAHAN CHALA GAYA MERA HUSSAIN HAI,
Marshia Translations | ISIJ of Toronto","I cannot sleep, on whose chest should I sleep on, where is my Hussain?"
,"LA ILAHA ILLAH MUHAMMADUR RASOOL ALLAH,KI LAAZAWAL DARSGAH HUSSAIN HAI
Marshia Translations | ISIJ of Toronto",The never declining university of  ‘La Ilaha Illallah Muhammadin Rasool Allah’ is Hussain
