line id verse number,arabic text,english translation text
,BAZAAR SHAAM HAI,THIS IS THE BAZAAR OF DAMASCUS
,"MAZLUM KA KUNBA, JAB SHAAM KO POHNCHA, ABID KA THA NAWHA\nLO AGAYA BAZAAR","ABID (ZAIN UL ABIDEEN) LAMENTED, WHEN THE CARAVAN OF THE\nOPPRESSED ARRIVED IN SHAAM, WE HAVE REACHED THE BAZAAR OF SHAAM"
,"LO AGAYA BAZAAR\nMERI PHUPHI AMMA, ROTI HAI BEPARDA, LAKHON KA HAI MAJHMA","MY BELOVED AUNT ZAINAB, IS CRYING WITHOUT A VEIL, THERE\nARE THOUSANDS OF ONLOOKERS, WE HAVE REACHED THE BAZAAR"
,"YE SOCH KE ROTA HOON, MA BEHNE KHULE SAR HAI,\nKIS TARHA SE DEKHOONGA, JO SAMNE MANZAR HAI","I AM THINKING OF THIS AND CRYING, THAT MY MOTHERS AND SISTERS ARE BAREHEADED\nHOW CAN I EVEN BEAR TO LOOK AT THIS ATMOSTPHERE IN FRONT OF ME?"
,"NEZE PE HAI EK SAR, ROTA HAI JO AKSAR\nKARTA HAI JO NAWHA, LO AGAYA BAZAAR","BUT THERE IS ONE HEAD RAISED ON A SPEAR,\nWHICH IS CONSTANTLY CRYING AND LAMENTING, WE HAVE REACHED THE BAZAAR"
,"BAZU HAI BANDHE MERE, MAIN KUCH NAHI KAR SAKTA,\nBOCHAAR HAI PATHAR KI, HUM SAB HAI RASAN BASTA","MY HANDS ARE TIED, I CANT DO ANYTHING! THERE IS\nA SHOWER OF STONES, AND WE ARE TIED TOGETHER AS TARGETS"
,"HAI KHOON KA DARYA, JO SAR SE HAI BEHTA,\nHASTA HAI YE AADA, LO AGAYA BAZAAR","THERE ARE RIVERS OF BLOOD FLOWING FROM OUR HEADS, AND\nTHESE MEN ARE LAUGHING AT US, WE HAVE REACHED THE BAZAAR"
,"HAR EK QADAM BABA, QURAN SUNATA HAI\nAUR AAG KE PATTHAR KHUD, CHEHRE PE WO KHAATE HAIN","MY FATHER IS RECITING QURAN WITH EVERY STEP OF THIS JOURNEY, AND\nHE IS BEING HIT WITH FIRE AND STONES TO HIS OWN BLESSED FACE"
,"ZAHRA KA DULARA, AHMED KA NAWASA,\nHAI BARSARE NEZA, LO AAGAYA BAZAAR","THE BELOVED OF ZAHRA (AS),\nTHE GRANDSON OF AHMED (SAW) IS RAISED UPON A SPEAR, WE HAVE REACHED THE BAZAAR"
,"PARDE KA MUHAFIZ AB, SAR APNA GIRAATA HAI,\nKHOON ROTA HAI WO GHAAZI, JAB BHI NAZAR AATA HAI","THE PROTECTOR OF ZAINAB’S VEIL, IS LETTING HIS HEAD FALL TO THE\nGROUND THIS IS ABBAS, CRYING TEARS OF BLOOD WHEN HE WITNESSES THIS"
,"ZAINAB KA KHULA SAR, AUR SHAAM KA MANZAR\nSAR PE NAHI PARDA, LO AGAYA BAZAAR","ZAINAB IS BAREHEADED,\nAND ALL OF SHAAM IS IN FRONT OF US SHE HAS NOT EVEN A CLOTH TO PROTECT HER HEAD, WE HAVE REACHED THE BAZAAR"
,"AUR SHIMR YE ABID (AS) SE, KIS FAKHRE SE KEHTA HAI,\nPARDA TERI ZAINAB KA, NEZE PE UTARA HAI","THEN SHIMR SAYS TO ABID (AS) WITH SUCH ARROGANCE AND PRIDE,\n'I HAVE REMOVED THE VEIL OF YOUR ZAINAB, USING JUST MY SPEAR'"
,"QUWWAT HAI YE MERI, AHMED KI NAWASI,\nKO SHAAM ME LAYAA, LO AGAYA BAZAAR","SHIMR SAYS,\n'THIS IS MY MIGHT AND POWER THAT I MYSELF CAN BRING THE GRANDDAUGHTER OF THE PROPHET TO THE BAZAAR OF SHAAM'"
